"Type","Name","Timestamp","# requests","# failures","Requests/s","Requests Failed/s","Median response time","Average response time","Min response time","Max response time","Average Content Size","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"None","Aggregated","1586479264",70,0,0.00,0.00,3,7,2,168.51,340.76,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1586479266",209,0,55.00,0.00,3,5,2,168.51,342.39,3,4,4,5,7,11,13,19,25,25,25,25
"None","Aggregated","1586479268",348,0,64.67,0.00,3,5,2,168.51,340.97,3,4,4,4,5,8,12,15,25,25,25,25
"None","Aggregated","1586479270",549,0,66.60,0.00,4,7,1,168.51,298.39,4,5,7,9,17,25,32,85,100,100,100,100
"None","Aggregated","1586479272",575,0,66.60,0.00,4,9,1,300.00,291.75,4,5,8,12,20,28,43,88,300,300,300,300
"None","Aggregated","1586479274",577,0,74.00,0.00,4,16,1,1888.16,291.43,4,6,10,13,23,32,58,100,1900,1900,1900,1900
"None","Aggregated","1586479276",623,0,63.89,0.00,4,197,1,3973.07,289.23,7,15,21,26,1600,3200,3800,3900,4000,4000,4000,4000
"None","Aggregated","1586479278",624,0,52.20,0.00,4,200,1,3973.07,288.77,17,26,52,1200,2900,3700,3900,4000,4000,4000,4000,4000
"None","Aggregated","1586479280",625,0,42.90,0.00,4,210,1,5991.40,288.70,38,1800,2500,2900,3700,3900,4000,4000,6000,6000,6000,6000
"None","Aggregated","1586479282",625,0,42.90,0.00,4,210,1,5991.40,288.70,2600,3300,3700,3700,3900,4000,6000,6000,6000,6000,6000,6000
"None","Aggregated","1586479284",625,0,42.90,0.00,4,210,1,5991.40,288.70,2700,3300,3700,3700,3900,4000,6000,6000,6000,6000,6000,6000
"None","Aggregated","1586479286",625,0,42.90,0.00,4,210,1,5991.40,288.70,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
"None","Aggregated","1586479288",625,0,42.90,0.00,4,210,1,5991.40,288.70,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
"None","Aggregated","1586479290",625,0,42.90,0.00,4,210,1,5991.40,288.70,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
"None","Aggregated","1586479292",648,0,0.00,0.00,4,819,1,18405.21,288.28,17000,17000,17000,17000,17000,18000,18000,18000,18000,18000,18000,18000
"None","Aggregated","1586479294",648,0,0.00,0.00,4,819,1,18405.21,288.28,17000,17000,17000,17000,17000,18000,18000,18000,18000,18000,18000,18000
"None","Aggregated","1586479296",648,0,0.00,0.00,4,819,1,18405.21,288.28,17000,17000,17000,17000,17000,18000,18000,18000,18000,18000,18000,18000
"None","Aggregated","1586479298",656,0,2.30,0.00,4,1098,1,23690.76,288.58,17000,17000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
"None","Aggregated","1586479300",656,0,2.30,0.00,4,1098,1,23690.76,288.58,17000,17000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
"None","Aggregated","1586479302",839,0,3.10,0.00,7,3348,1,30805.93,281.79,9400,24000,26000,27000,28000,30000,30000,30000,31000,31000,31000,31000
"None","Aggregated","1586479304",946,0,13.20,0.00,12,3175,1,30805.93,252.67,1800,3100,23000,25000,27000,29000,30000,30000,31000,31000,31000,31000
"None","Aggregated","1586479306",958,0,19.50,0.00,13,3145,1,30805.93,249.53,1700,3000,10000,25000,27000,29000,30000,30000,31000,31000,31000,31000
"None","Aggregated","1586479308",960,0,30.90,0.00,13,3147,1,30805.93,249.01,1800,3100,10000,25000,27000,29000,30000,30000,31000,31000,31000,31000
"None","Aggregated","1586479310",961,0,31.10,0.00,13,3150,1,30805.93,248.75,1700,2200,9400,25000,27000,29000,30000,30000,31000,31000,31000,31000
"None","Aggregated","1586479312",961,0,31.10,0.00,13,3150,1,30805.93,248.75,1700,1800,1900,1900,2200,2200,3400,4300,6300,6300,6300,6300
"None","Aggregated","1586479314",961,0,31.10,0.00,13,3150,1,30805.93,248.75,4300,4300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300
"None","Aggregated","1586479316",961,0,31.10,0.00,13,3150,1,30805.93,248.75,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300
"None","Aggregated","1586479318",961,0,31.10,0.00,13,3150,1,30805.93,248.75,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300
"None","Aggregated","1586479320",961,0,31.10,0.00,13,3150,1,30805.93,248.75,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300
"None","Aggregated","1586479322",962,0,0.10,0.00,13,3166,1,30805.93,248.50,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
"None","Aggregated","1586479324",962,0,0.10,0.00,13,3166,1,30805.93,248.50,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
"None","Aggregated","1586479326",962,0,0.10,0.00,13,3166,1,30805.93,248.50,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
"None","Aggregated","1586479328",962,0,0.10,0.00,13,3166,1,30805.93,248.50,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
"None","Aggregated","1586479330",962,0,0.10,0.00,13,3166,1,30805.93,248.50,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
"None","Aggregated","1586479332",963,0,0.10,0.00,13,3191,1,30805.93,248.24,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
"None","Aggregated","1586479334",1001,37,0.10,0.00,15,4218,1,30847.92,482.87,30000,30000,30000,30000,30000,31000,31000,31000,31000,31000,31000,31000
"None","Aggregated","1586479336",1197,54,0.10,0.00,38,4962,1,30847.92,497.68,720,25000,30000,30000,30000,30000,31000,31000,31000,31000,31000,31000
"None","Aggregated","1586479338",1357,54,19.60,5.40,280,4442,1,30847.92,439.23,640,710,23000,25000,30000,30000,30000,31000,31000,31000,31000,31000
"None","Aggregated","1586479340",1550,54,36.00,5.40,410,3948,1,30847.92,390.66,560,680,730,790,30000,30000,30000,31000,31000,31000,31000,31000
