"1593818664","10","","Aggregated",23.30,0.00,350,420,440,470,520,670,1100,1100,1100,1100,1100,1100,9784,0,390,435,97,3804,162
"1593818666","10","","Aggregated",23.10,0.00,380,420,470,500,550,670,1100,1100,1100,1100,1100,1100,9826,0,390,436,97,3804,162
"1593818668","10","","Aggregated",22.50,0.00,410,430,490,510,570,670,1100,1100,1100,1100,1100,1100,9871,0,400,435,97,3804,162
"1593818670","10","","Aggregated",22.50,0.00,410,450,480,500,530,610,660,670,670,670,670,670,9919,0,400,435,97,3804,162
"1593818672","10","","Aggregated",23.00,0.00,410,450,490,510,530,620,660,670,720,720,720,720,9969,0,390,435,97,3804,162
"1593818674","10","","Aggregated",23.00,0.00,390,430,450,480,510,570,620,650,720,720,720,720,10014,0,390,435,97,3804,162
"1593818676","10","","Aggregated",24.00,0.00,380,420,450,480,530,720,1300,1300,1700,1700,1700,1700,10045,0,390,435,97,3804,162
"1593818678","10","","Aggregated",21.80,0.00,360,390,400,450,520,720,1300,1300,1700,1700,1700,1700,10107,0,390,435,97,3804,162
"1593818680","10","","Aggregated",21.80,0.00,360,390,400,450,530,720,1300,1300,1700,1700,1700,1700,10148,0,390,434,97,3804,162
"1593818682","10","","Aggregated",23.70,0.00,350,390,410,460,560,680,1300,1300,1700,1700,1700,1700,10206,0,390,434,97,3804,162
"1593818684","10","","Aggregated",23.10,0.00,360,400,430,460,580,670,1300,1300,1700,1700,1700,1700,10247,0,390,434,97,3804,162
