"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/customers",32,0,210,273,5,1091,954,0.18,0.00,230,290,340,390,440,890,1100,1100,1100,1100,1100,1100
"GET","/customers/2",32,0,190,299,4,762,934,0.18,0.00,270,360,450,540,670,720,760,760,760,760,760,760
"GET","/features?productId=4&start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",20,0,10000,10613,5254,15670,4022,0.11,0.00,11000,13000,14000,15000,16000,16000,16000,16000,16000,16000,16000,16000
"GET","/products/4",32,0,200,264,17,783,10341,0.18,0.00,210,300,370,390,420,740,780,780,780,780,780,780
"GET","/products/4/reports/daily/services/series?start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z&group=",20,0,151000,151893,134907,167095,151520,0.11,0.00,154000,160000,162000,162000,167000,167000,167000,167000,167000,167000,167000,167000
"GET","/products?customerId=2",32,0,230,359,4,1794,600,0.18,0.00,240,260,310,320,1300,1700,1800,1800,1800,1800,1800,1800
"GET","/services?productId=4&start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z&group=",20,0,1300,1513,719,2662,10330,0.11,0.00,1300,1900,2000,2100,2500,2700,2700,2700,2700,2700,2700,2700
"GET","/sources?productId=4&start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",20,0,610,766,303,2292,6271,0.11,0.00,650,700,720,720,1900,2300,2300,2300,2300,2300,2300,2300
"None","Aggregated",208,0,390,16029,4,167095,18525,1.14,0.00,390,740,1700,2500,16000,151000,162000,164000,167000,167000,167000,167000
