"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"PUT","/services/19/features/14",31,0,37,44,10,133,0,0.09,0.00,37,50,53,55,65,85,130,130,130,130,130,130
"PUT","/services/19/features/15",31,0,38,36,9,72,0,0.09,0.00,38,41,47,49,57,66,72,72,72,72,72,72
"PUT","/services/19/features/16",31,0,37,40,6,80,0,0.09,0.00,37,44,49,50,69,79,80,80,80,80,80,80
"PUT","/services/19/features/17",31,0,33,37,10,104,0,0.09,0.00,33,38,49,54,61,65,100,100,100,100,100,100
"PUT","/services/19/features/4",31,0,40,41,15,79,0,0.09,0.00,40,48,50,54,69,71,79,79,79,79,79,79
"PUT","/services/19/features/9",31,0,30,40,6,96,0,0.09,0.00,30,41,44,56,80,87,96,96,96,96,96,96
"PUT","/services/20/features/10",31,0,39,44,11,113,0,0.09,0.00,39,46,55,55,68,99,110,110,110,110,110,110
"PUT","/services/20/features/11",31,0,40,44,11,111,0,0.09,0.00,40,49,55,56,67,97,110,110,110,110,110,110
"PUT","/services/20/features/12",31,0,37,39,8,115,0,0.09,0.00,37,45,48,50,63,80,120,120,120,120,120,120
"PUT","/services/20/features/13",31,0,42,43,11,99,0,0.09,0.00,42,48,52,52,66,89,99,99,99,99,99,99
"PUT","/services/20/features/14",31,0,32,39,9,164,0,0.09,0.00,32,41,46,47,58,68,160,160,160,160,160,160
"PUT","/services/20/features/15",31,0,29,33,5,95,0,0.09,0.00,29,36,44,46,51,82,95,95,95,95,95,95
"PUT","/services/20/features/16",31,0,38,40,10,98,0,0.09,0.00,38,45,52,56,66,79,98,98,98,98,98,98
"PUT","/services/20/features/17",31,0,37,38,12,70,0,0.09,0.00,37,43,47,48,57,70,70,70,70,70,70,70
"PUT","/services/20/features/4",31,0,37,39,12,75,0,0.09,0.00,37,46,50,51,61,75,75,75,75,75,75,75
"PUT","/services/20/features/9",31,0,34,38,7,89,0,0.09,0.00,34,44,47,47,62,82,89,89,89,89,89,89
"PUT","/services/21/features/10",31,0,37,39,9,91,0,0.09,0.00,37,45,52,56,62,69,91,91,91,91,91,91
"PUT","/services/21/features/11",31,0,37,41,13,94,0,0.09,0.00,37,42,51,61,68,88,94,94,94,94,94,94
"PUT","/services/21/features/12",31,0,42,44,14,107,0,0.09,0.00,42,52,55,62,86,100,110,110,110,110,110,110
"PUT","/services/21/features/13",31,0,38,41,16,75,0,0.09,0.00,38,48,54,54,60,72,75,75,75,75,75,75
"PUT","/services/21/features/14",31,0,42,169,7,4076,0,0.09,0.00,42,47,52,58,63,120,4100,4100,4100,4100,4100,4100
"PUT","/services/21/features/15",31,0,41,43,10,85,0,0.09,0.00,41,47,61,64,69,84,85,85,85,85,85,85
"PUT","/services/21/features/16",31,0,47,177,7,4093,0,0.09,0.00,47,55,59,61,89,99,4100,4100,4100,4100,4100,4100
"PUT","/services/21/features/17",31,0,33,41,4,127,0,0.09,0.00,33,48,59,59,64,76,130,130,130,130,130,130
"PUT","/services/21/features/4",31,0,36,38,10,88,0,0.09,0.00,36,44,50,54,64,67,88,88,88,88,88,88
"PUT","/services/21/features/9",31,0,40,45,20,91,0,0.09,0.00,40,44,55,56,70,89,91,91,91,91,91,91
"PUT","/services/22/features/10",31,0,48,48,5,105,0,0.09,0.00,48,53,59,61,68,82,110,110,110,110,110,110
"PUT","/services/22/features/11",31,0,37,42,10,118,0,0.09,0.00,37,52,59,60,62,110,120,120,120,120,120,120
"PUT","/services/22/features/12",31,0,43,48,17,105,0,0.09,0.00,43,52,60,66,85,99,110,110,110,110,110,110
"PUT","/services/22/features/13",31,0,45,51,8,113,0,0.09,0.00,45,55,70,71,92,100,110,110,110,110,110,110
"PUT","/services/22/features/14",31,0,46,48,4,98,0,0.09,0.00,46,54,63,63,86,93,98,98,98,98,98,98
"PUT","/services/22/features/15",31,0,46,48,13,144,0,0.09,0.00,46,53,58,58,74,100,140,140,140,140,140,140
"PUT","/services/22/features/16",31,0,47,53,4,159,0,0.09,0.00,47,58,61,67,89,140,160,160,160,160,160,160
"PUT","/services/22/features/17",31,0,55,55,14,111,0,0.09,0.00,55,59,63,67,79,100,110,110,110,110,110,110
"PUT","/services/22/features/4",31,0,44,46,19,99,0,0.09,0.00,44,49,57,58,75,98,99,99,99,99,99,99
"PUT","/services/22/features/9",31,0,45,43,3,118,0,0.09,0.00,45,50,50,51,59,100,120,120,120,120,120,120
"PUT","/services/3/features/10",72,0,27,30,5,104,0,0.22,0.00,28,33,37,41,49,65,68,100,100,100,100,100
"PUT","/services/3/features/11",71,0,25,31,10,97,0,0.21,0.00,25,32,38,40,52,64,76,97,97,97,97,97
"PUT","/services/3/features/12",70,0,24,30,8,95,0,0.21,0.00,25,34,37,41,56,58,78,95,95,95,95,95
"PUT","/services/3/features/13",69,0,33,33,4,81,0,0.21,0.00,33,36,41,45,51,55,62,81,81,81,81,81
"PUT","/services/3/features/14",69,0,28,32,4,93,0,0.21,0.00,28,36,44,51,59,68,72,93,93,93,93,93
"PUT","/services/3/features/15",69,0,32,35,8,86,0,0.21,0.00,32,39,45,48,67,74,80,86,86,86,86,86
"PUT","/services/3/features/16",69,0,27,30,6,81,0,0.21,0.00,27,35,40,44,55,58,75,81,81,81,81,81
"PUT","/services/3/features/17",69,0,22,29,4,84,0,0.21,0.00,22,31,40,46,57,69,80,84,84,84,84,84
"PUT","/services/3/features/4",73,0,23,30,8,197,0,0.22,0.00,23,31,33,35,51,69,90,200,200,200,200,200
"PUT","/services/3/features/9",73,0,26,31,4,82,0,0.22,0.00,26,37,40,45,59,60,72,82,82,82,82,82
"PUT","/services/4/features/10",69,0,26,33,8,178,0,0.21,0.00,26,32,36,42,68,74,82,180,180,180,180,180
"PUT","/services/4/features/11",69,0,26,31,6,93,0,0.21,0.00,26,35,37,43,54,61,75,93,93,93,93,93
"PUT","/services/4/features/12",69,0,23,28,8,87,0,0.21,0.00,23,32,36,43,49,62,69,87,87,87,87,87
"PUT","/services/4/features/13",69,0,29,32,3,90,0,0.21,0.00,29,35,37,43,51,80,89,90,90,90,90,90
"PUT","/services/4/features/14",69,0,26,89,6,4092,0,0.21,0.00,26,33,37,43,55,67,82,4100,4100,4100,4100,4100
"PUT","/services/4/features/15",69,0,29,30,7,95,0,0.21,0.00,29,34,36,39,45,59,64,95,95,95,95,95
"PUT","/services/4/features/16",69,0,29,34,11,146,0,0.21,0.00,29,36,40,44,55,61,82,150,150,150,150,150
"PUT","/services/4/features/17",68,0,31,35,5,158,0,0.21,0.00,32,35,42,46,56,88,120,160,160,160,160,160
"PUT","/services/4/features/4",69,0,28,32,7,156,0,0.21,0.00,28,33,40,48,56,59,80,160,160,160,160,160
"PUT","/services/4/features/9",69,0,27,26,8,61,0,0.21,0.00,27,29,32,34,40,45,50,61,61,61,61,61
"PUT","/services/5/features/10",67,0,26,130,5,6654,0,0.20,0.00,26,35,40,41,52,73,140,6700,6700,6700,6700,6700
"PUT","/services/5/features/11",67,0,26,30,8,73,0,0.20,0.00,26,34,36,39,51,65,70,73,73,73,73,73
"PUT","/services/5/features/12",67,0,28,32,5,175,0,0.20,0.00,28,37,40,41,48,52,87,180,180,180,180,180
