"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"PUT","/features/14/indicators/13",119,0,33,92,6,6631,0,0.36,0.00,33,43,49,54,64,71,83,120,6600,6600,6600,6600
"PUT","/features/14/indicators/14",117,0,37,39,9,88,0,0.35,0.00,37,44,50,52,67,78,83,86,88,88,88,88
"PUT","/features/14/indicators/15",117,0,36,41,3,144,0,0.35,0.00,36,48,56,60,79,89,99,130,140,140,140,140
"PUT","/features/14/indicators/16",113,0,33,39,5,181,0,0.34,0.00,33,42,49,52,65,92,100,100,180,180,180,180
"PUT","/features/14/indicators/17",110,0,29,38,4,146,0,0.33,0.00,29,43,49,56,70,88,120,120,150,150,150,150
"PUT","/features/14/indicators/18",108,0,38,39,5,92,0,0.33,0.00,38,48,53,54,67,77,87,88,92,92,92,92
"PUT","/features/14/indicators/19",107,0,34,37,6,159,0,0.32,0.00,34,43,49,52,65,80,89,89,160,160,160,160
"PUT","/features/14/indicators/4",124,0,32,38,3,197,0,0.37,0.00,32,41,48,53,63,74,85,130,200,200,200,200
"PUT","/features/15/indicators/10",105,0,35,102,7,6631,0,0.32,0.00,35,47,50,53,59,73,94,120,6600,6600,6600,6600
"PUT","/features/15/indicators/11",100,0,34,37,7,127,0,0.30,0.00,34,43,49,53,63,75,80,130,130,130,130,130
"PUT","/features/15/indicators/13",100,0,37,41,7,198,0,0.30,0.00,37,44,52,56,74,85,120,200,200,200,200,200
"PUT","/features/15/indicators/14",100,0,33,39,10,109,0,0.30,0.00,34,43,47,53,73,86,94,110,110,110,110,110
"PUT","/features/15/indicators/15",96,0,34,37,7,88,0,0.29,0.00,34,43,52,55,67,70,76,88,88,88,88,88
"PUT","/features/15/indicators/16",90,0,35,113,4,6660,0,0.27,0.00,35,44,50,53,71,92,160,6700,6700,6700,6700,6700
"PUT","/features/15/indicators/17",88,0,36,39,6,117,0,0.27,0.00,36,45,52,54,66,77,96,120,120,120,120,120
"PUT","/features/15/indicators/18",87,0,36,41,8,97,0,0.26,0.00,36,43,53,58,77,85,97,97,97,97,97,97
"PUT","/features/15/indicators/19",86,0,39,42,8,110,0,0.26,0.00,40,43,51,56,69,81,92,110,110,110,110,110
"PUT","/features/15/indicators/4",105,0,38,43,6,228,0,0.32,0.00,38,45,51,56,78,91,110,170,230,230,230,230
"PUT","/features/16/indicators/10",82,0,36,42,10,120,0,0.25,0.00,37,43,54,61,76,83,110,120,120,120,120,120
"PUT","/features/16/indicators/11",81,0,35,47,4,204,0,0.24,0.00,35,51,59,68,86,97,200,200,200,200,200,200
"PUT","/features/16/indicators/13",81,0,44,44,9,114,0,0.24,0.00,44,52,57,62,78,86,100,110,110,110,110,110
"PUT","/features/16/indicators/14",81,0,36,40,6,95,0,0.24,0.00,36,44,51,56,74,77,87,95,95,95,95,95
"PUT","/features/16/indicators/15",80,0,34,42,6,134,0,0.24,0.00,34,45,58,65,76,95,120,130,130,130,130,130
"PUT","/features/16/indicators/16",78,0,34,41,9,191,0,0.24,0.00,35,42,52,54,69,82,110,190,190,190,190,190
"PUT","/features/16/indicators/17",77,0,38,41,5,96,0,0.23,0.00,38,48,55,62,71,87,92,96,96,96,96,96
"PUT","/features/16/indicators/18",76,0,35,126,9,6636,0,0.23,0.00,36,42,51,55,68,100,130,6600,6600,6600,6600,6600
"PUT","/features/16/indicators/19",76,0,36,41,4,156,0,0.23,0.00,36,51,55,58,67,74,140,160,160,160,160,160
"PUT","/features/16/indicators/4",84,0,36,42,8,110,0,0.25,0.00,37,44,55,59,82,100,110,110,110,110,110,110
"PUT","/features/17/indicators/10",76,0,32,42,8,237,0,0.23,0.00,32,48,52,54,77,83,100,240,240,240,240,240
"PUT","/features/17/indicators/11",76,0,38,40,8,88,0,0.23,0.00,38,44,48,51,64,78,87,88,88,88,88,88
"PUT","/features/17/indicators/13",75,0,38,41,12,97,0,0.23,0.00,38,50,53,57,73,81,87,97,97,97,97,97
"PUT","/features/17/indicators/14",75,0,33,36,6,91,0,0.23,0.00,33,40,46,50,65,76,89,91,91,91,91,91
"PUT","/features/17/indicators/15",74,0,36,40,8,97,0,0.22,0.00,36,45,52,60,71,80,92,97,97,97,97,97
"PUT","/features/17/indicators/16",74,0,36,39,9,100,0,0.22,0.00,37,43,50,55,67,74,86,100,100,100,100,100
"PUT","/features/17/indicators/17",74,0,39,41,13,142,0,0.22,0.00,40,46,52,54,61,74,94,140,140,140,140,140
"PUT","/features/17/indicators/18",74,0,32,38,5,86,0,0.22,0.00,33,42,52,54,72,76,81,86,86,86,86,86
"PUT","/features/17/indicators/19",73,0,37,38,6,87,0,0.22,0.00,37,43,49,57,70,78,81,87,87,87,87,87
"PUT","/features/17/indicators/4",76,0,39,42,7,94,0,0.23,0.00,39,49,57,58,66,81,93,94,94,94,94,94
"PUT","/features/4/indicators/10",217,0,18,23,3,185,0,0.66,0.00,18,24,30,35,47,57,67,86,190,190,190,190
"PUT","/features/4/indicators/11",209,0,19,25,3,156,0,0.63,0.00,19,27,33,39,54,63,77,91,160,160,160,160
"PUT","/features/4/indicators/13",207,0,22,28,3,108,0,0.63,0.00,22,33,39,42,57,72,90,96,110,110,110,110
"PUT","/features/4/indicators/14",204,0,21,28,2,146,0,0.62,0.00,22,32,39,46,56,74,90,110,150,150,150,150
"PUT","/features/4/indicators/15",203,0,25,30,3,169,0,0.61,0.00,25,34,43,47,61,80,99,110,170,170,170,170
"PUT","/features/4/indicators/16",202,0,22,27,4,120,0,0.61,0.00,22,32,38,41,59,70,80,87,120,120,120,120
"PUT","/features/4/indicators/17",201,0,24,28,3,189,0,0.61,0.00,24,33,39,43,53,69,75,78,190,190,190,190
"PUT","/features/4/indicators/18",200,0,24,30,3,163,0,0.60,0.00,24,33,40,46,64,80,100,120,160,160,160,160
"PUT","/features/4/indicators/19",198,0,29,35,3,193,0,0.60,0.00,29,40,47,53,69,93,110,170,190,190,190,190
"PUT","/features/4/indicators/4",225,0,15,95,3,4159,0,0.68,0.00,15,23,30,37,47,71,180,4100,4200,4200,4200,4200
"PUT","/features/9/indicators/10",197,0,27,31,3,176,0,0.60,0.00,27,37,43,44,56,71,110,180,180,180,180,180
"PUT","/features/9/indicators/11",196,0,29,35,3,206,0,0.59,0.00,29,39,45,47,69,82,180,200,210,210,210,210
"PUT","/features/9/indicators/13",194,0,27,33,3,184,0,0.59,0.00,27,36,41,46,64,85,110,180,180,180,180,180
"PUT","/features/9/indicators/14",193,0,27,30,3,113,0,0.58,0.00,27,34,40,45,60,66,81,100,110,110,110,110
"PUT","/features/9/indicators/15",192,0,27,33,4,160,0,0.58,0.00,27,37,46,50,60,74,95,97,160,160,160,160
"PUT","/features/9/indicators/16",192,0,30,33,3,189,0,0.58,0.00,30,39,43,46,55,64,140,180,190,190,190,190
"PUT","/features/9/indicators/17",191,0,30,34,3,214,0,0.58,0.00,30,39,43,46,56,70,92,180,210,210,210,210
"PUT","/features/9/indicators/18",190,0,30,35,3,214,0,0.57,0.00,30,38,44,48,60,75,150,190,210,210,210,210
"PUT","/features/9/indicators/19",190,0,30,35,3,201,0,0.57,0.00,30,38,41,47,62,86,110,180,200,200,200,200
"PUT","/features/9/indicators/4",197,0,29,33,3,183,0,0.60,0.00,29,37,42,47,61,78,110,150,180,180,180,180
"POST","/products",235,0,10,17,2,167,295,0.71,0.00,10,17,24,29,37,51,77,88,170,170,170,170
"POST","/services",1002,0,33,37,3,192,497,3.03,0.00,33,41,46,49,62,74,91,110,190,190,190,190
"PUT","/services/10/features/10",62,0,25,28,5,97,0,0.19,0.00,26,29,32,34,44,47,62,97,97,97,97,97
"PUT","/services/10/features/11",62,0,25,96,10,4108,0,0.19,0.00,26,32,40,43,51,79,89,4100,4100,4100,4100,4100
"PUT","/services/10/features/12",62,0,26,28,4,74,0,0.19,0.00,26,30,35,39,46,51,55,74,74,74,74,74
"PUT","/services/10/features/13",62,0,27,29,4,77,0,0.19,0.00,28,31,36,40,43,47,63,77,77,77,77,77
"PUT","/services/10/features/14",61,0,28,28,5,81,0,0.18,0.00,28,33,33,34,46,49,56,81,81,81,81,81
"PUT","/services/10/features/15",61,0,29,35,12,140,0,0.18,0.00,29,34,39,44,51,64,91,140,140,140,140,140
"PUT","/services/10/features/16",61,0,31,33,11,86,0,0.18,0.00,31,37,41,42,50,61,80,86,86,86,86,86
"PUT","/services/10/features/17",61,0,30,32,6,86,0,0.18,0.00,30,34,39,41,50,73,83,86,86,86,86,86
"PUT","/services/10/features/4",62,0,25,28,5,134,0,0.19,0.00,26,28,32,34,43,52,54,130,130,130,130,130
"PUT","/services/10/features/9",62,0,28,29,7,69,0,0.19,0.00,28,31,35,37,46,55,66,69,69,69,69,69
"PUT","/services/11/features/10",61,0,31,32,3,75,0,0.18,0.00,31,40,42,44,48,55,64,75,75,75,75,75
"PUT","/services/11/features/11",61,0,28,32,11,79,0,0.18,0.00,28,36,39,41,50,60,66,79,79,79,79,79
"PUT","/services/11/features/12",61,0,28,30,3,89,0,0.18,0.00,28,32,36,41,48,52,62,89,89,89,89,89
"PUT","/services/11/features/13",61,0,30,33,9,93,0,0.18,0.00,30,34,39,43,52,68,78,93,93,93,93,93
"PUT","/services/11/features/14",61,0,26,30,9,98,0,0.18,0.00,26,33,37,40,49,57,84,98,98,98,98,98
"PUT","/services/11/features/15",61,0,30,33,7,150,0,0.18,0.00,30,35,36,40,47,61,85,150,150,150,150,150
"PUT","/services/11/features/16",59,0,25,29,8,60,0,0.18,0.00,25,31,39,40,54,55,59,60,60,60,60,60
"PUT","/services/11/features/17",59,0,28,31,6,71,0,0.18,0.00,28,36,40,42,52,58,59,71,71,71,71,71
"PUT","/services/11/features/4",61,0,29,31,4,72,0,0.18,0.00,29,35,37,40,46,53,65,72,72,72,72,72
"PUT","/services/11/features/9",61,0,26,30,5,101,0,0.18,0.00,26,34,40,40,48,59,67,100,100,100,100,100
"PUT","/services/12/features/10",55,0,29,31,9,81,0,0.17,0.00,29,37,42,45,50,52,57,81,81,81,81,81
"PUT","/services/12/features/11",55,0,28,32,4,92,0,0.17,0.00,28,36,40,46,54,62,81,92,92,92,92,92
"PUT","/services/12/features/12",54,0,28,31,10,69,0,0.16,0.00,28,36,42,45,50,55,60,69,69,69,69,69
"PUT","/services/12/features/13",54,0,28,29,4,56,0,0.16,0.00,30,34,38,42,45,52,54,56,56,56,56,56
"PUT","/services/12/features/14",53,0,28,35,7,107,0,0.16,0.00,28,38,47,55,63,77,90,110,110,110,110,110
"PUT","/services/12/features/15",51,0,32,36,3,153,0,0.15,0.00,32,38,44,47,53,73,87,150,150,150,150,150
"PUT","/services/12/features/16",50,0,33,35,8,100,0,0.15,0.00,33,38,40,46,60,73,100,100,100,100,100,100
"PUT","/services/12/features/17",50,0,32,38,5,156,0,0.15,0.00,32,41,48,54,72,76,160,160,160,160,160,160
"PUT","/services/12/features/4",58,0,32,36,11,149,0,0.18,0.00,32,38,43,46,58,64,110,150,150,150,150,150
"PUT","/services/12/features/9",57,0,31,41,11,153,0,0.17,0.00,31,39,44,49,90,130,150,150,150,150,150,150
"PUT","/services/13/features/10",46,0,31,33,6,140,0,0.14,0.00,31,33,38,40,47,53,140,140,140,140,140,140
"PUT","/services/13/features/11",45,0,26,30,3,105,0,0.14,0.00,26,34,36,45,47,48,110,110,110,110,110,110
"PUT","/services/13/features/12",44,0,32,32,7,62,0,0.13,0.00,33,39,42,42,49,53,62,62,62,62,62,62
"PUT","/services/13/features/13",43,0,30,34,13,86,0,0.13,0.00,30,39,42,44,55,69,86,86,86,86,86,86
"PUT","/services/13/features/14",43,0,31,33,5,74,0,0.13,0.00,31,36,41,48,55,59,74,74,74,74,74,74
"PUT","/services/13/features/15",41,0,30,37,4,147,0,0.12,0.00,30,42,42,50,70,83,150,150,150,150,150,150
"PUT","/services/13/features/16",40,0,28,32,3,69,0,0.12,0.00,30,37,42,49,57,66,69,69,69,69,69,69
"PUT","/services/13/features/17",40,0,32,136,8,4038,0,0.12,0.00,33,37,41,46,76,87,4000,4000,4000,4000,4000,4000
"PUT","/services/13/features/4",48,0,32,35,8,95,0,0.15,0.00,32,40,44,46,54,77,95,95,95,95,95,95
"PUT","/services/13/features/9",47,0,29,32,5,74,0,0.14,0.00,29,36,44,46,61,69,74,74,74,74,74,74
"PUT","/services/14/features/10",40,0,29,33,5,83,0,0.12,0.00,31,40,50,51,58,67,83,83,83,83,83,83
"PUT","/services/14/features/11",40,0,31,35,9,83,0,0.12,0.00,35,41,48,50,62,65,83,83,83,83,83,83
"PUT","/services/14/features/12",40,0,33,36,8,87,0,0.12,0.00,33,39,49,50,55,76,87,87,87,87,87,87
