Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
POST,/sourceItems,10247,0,390.0,434.3114754066382,97.6250171661377,3804.788112640381,162.98985068800624,21.409569336963727,0.0,390,440,480,510,600,730,1100,1600,2700,3800,3800,3800
,Aggregated,10247,0,390.0,434.3114754066382,97.6250171661377,3804.788112640381,162.98985068800624,21.409569336963727,0.0,390,440,480,510,600,730,1100,1600,2700,3800,3800,3800
