"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"POST","/sourceItems",79640,0,62,101,5,4144,2,126.75,0.00,62,83,100,120,190,290,510,770,3200,4100,4100,4100
"None","Aggregated",79640,0,62,101,5,4144,2,126.75,0.00,62,83,100,120,190,290,510,770,3200,4100,4100,4100
