"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/customers",20,0,130,139,5,337,954,0.08,0.00,140,210,230,260,270,340,340,340,340,340,340,340
"GET","/customers/1",20,0,150,186,11,409,934,0.08,0.00,180,300,320,380,410,410,410,410,410,410,410,410
"GET","/products/2",20,0,270,278,25,587,10333,0.08,0.00,310,390,420,450,560,590,590,590,590,590,590,590
"GET","/products/2/reports/daily/services/series?start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z&group=",20,0,153000,157179,141405,203106,151513,0.08,0.00,153000,157000,160000,161000,197000,203000,203000,203000,203000,203000,203000,203000
"GET","/products?customerId=1",20,0,110,176,5,685,600,0.08,0.00,130,240,290,350,430,690,690,690,690,690,690,690
"GET","/services/3/reports/daily/series?start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",20,0,8600,9034,6627,13102,77694,0.08,0.00,8600,9100,9900,10000,11000,13000,13000,13000,13000,13000,13000,13000
"GET","/services/3?start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",20,0,24000,24054,18335,30491,4660,0.08,0.00,24000,26000,27000,28000,29000,30000,30000,30000,30000,30000,30000,30000
"GET","/services/4/reports/daily/series?start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",20,0,9800,10569,7502,14983,77694,0.08,0.00,11000,12000,13000,13000,15000,15000,15000,15000,15000,15000,15000,15000
"GET","/services/4?start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",20,0,20000,19867,13656,24649,4666,0.08,0.00,20000,22000,23000,24000,24000,25000,25000,25000,25000,25000,25000,25000
"GET","/services?productId=2&start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z&group=",20,0,1700,2051,1134,3481,10322,0.08,0.00,1800,2200,2700,3200,3400,3500,3500,3500,3500,3500,3500,3500
"None","Aggregated",200,0,3500,22353,5,203106,33937,0.76,0.00,6600,12000,19000,22000,141000,153000,161000,197000,203000,203000,203000,203000
