"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","100%"
"GET /customers",540,4,4,6,11,13,13,22,23,26,26,26
"GET /users",1132,4,4,5,11,12,13,23,25,36,75,75
"Aggregated",1672,4,4,5,11,12,13,22,24,36,75,75
